"name","numberOfGuests","roomType","stars"
"White Home","16","Private room in bed and breakfast",
"Reef Villa & Spa - Ocean Suite Two","2","Room in boutique hotel",
"134Sqm Pool House 2bedrooms","6","Room in hotel",
"The Old Palm House a foodies paradise","2","Private room in villa","5"
"Superior Room","2","Room in boutique hotel",
"Luxury Boutique Villa 1st class","8","Room in boutique hotel",
"Sandy's Villa Hiriketiya","8","Entire guesthouse",
"Reef Villa & Spa - Ocean Suite Three","2","Room in boutique hotel",
"Simpson's Forest Bungalow","6","Room in boutique hotel",
"Kiri Palu Main Villa","10","Entire villa",
"luxury at Heritage House","8","Entire villa",
"Pedlar's Manor - Luxury Colonial Style Villa","8","Room in boutique hotel",
"Owl and the Pussycat Hotel (Galle) - Suite E Pie","2","Room in boutique hotel",
"Two Bedroom Pool Suite with Private Pool","4","Room in hotel",
"Tea Estate Accomodation - Strathisla - Whole house","14","Entire bungalow","5"
"Dennis Villa nugegoda","6","Entire home",
"UdaKanda, Stunning Hilltop Villa near Beach","8","Entire villa",
"Highland Villas - Hilltop Villa","10","Entire home",
"Villa (1-4 persons) with Jungle & Ocean Views","2","Private room in resort",
"Luxury Villa Nr Galle Sri Lanka","7","Entire villa",
"The Far Pavilion By Edwards Collection","4","Room in boutique hotel",
"6 Bedroom Luxury Villa With Pool","15","Entire villa",
"Reef Villa & Spa - Lily Pond Suite Olu","2","Room in boutique hotel",
"VV -Full Villa","9","Entire guesthouse","4.6"
"Two Bedroom Walauwwa Suite","4","Room in hotel",
"Unawatuna Beach 4 Bed Room Luxury Villa 25% OFF","8","Entire villa",
"The hotel has a magnificent view of mountains.","13","Entire guesthouse",
"7 bedrooms, sleeps 18, 2 pools, 2 villas together","16","Entire villa",
"The Edgware","15","Entire bungalow","4.9"
"Pedlar's Manor - Colonial Villa with Breakfast","8","Room in boutique hotel",
"Premier Room with Private Jacuzzi in Bentota","2","Room in boutique hotel",
"Kingsley’s Pearl Boutique Villa","7","Entire home",
"LuxeSuite located 10 minutes from the Bohra Masjid","3","Entire rental unit",
"5 Bedroom Family Villa & Resort With Pool","10","Entire villa",
"Luxury mini apartment in polhena","2","Entire rental unit",
"Reef Villa & Spa - Nelum Plantation House Suite","2","Room in boutique hotel",
"Heavensa Luxury Villas at Galle","8","Room in hotel",
"Little England by Joes","10","Entire home",
"Sea View Beach Villa on Unawatuna","8","Room in bed and breakfast","4.6"
"Seaside private villa Talalla Blue","12","Entire place",
"BOUGAN VILLA","10","Entire home",
"Merchant House / 4 Bedroom Villa / Ahangama","8","Entire villa",
"Thambilli Beach House","8","Entire villa",
"Reef Villa & Spa - Manel Plantation House Suite","2","Room in boutique hotel",
"Lake Front Luxury Villa","12","Entire home",
"Luxury Hikkaduwa's Stylish Apartments 14-18 Guests","16","Room in boutique hotel",
"The Summit Hanthana- full house","6","Entire townhouse",
"33Sqm Seaview room in Tangalle","2","Room in hotel",
"8 Bedroom Colonial Style Villa","16","Entire villa","4.8"
"Private Pool Villa with service","6","Room in hotel",
"Tao House Jungle Boutique villa","10","Entire villa","3.25"
"Villa Aurora, Galle Fort","6","Entire villa","4.5"
"3 Bedroom Beach House With Infinity Pool","8","Entire villa","4.65"
"Deep Blue Homestay Colonial Villa","8","Entire home","4.88"
"India Walk Estate Bungalow","10","Entire home",
"Allure Yala","9","Entire guesthouse",
"Garden View Two Bedroom villa with Private Pool","6","Room in hotel",
"plantation | 6-bedroom eco chic villa | Weligama","12","Entire villa",
"Wallauwa Suite - Viceroy House","2","Room in boutique hotel",
"THE CURIOUS CHAMELEON @  FLAME TREE ESTATE & HOTEL","2","Room in boutique hotel",
"Hiriketiya Beach Cove Inn","8","Entire guesthouse",
"Satiana Galle Villa Only (4 Rooms)","8","Entire home",
"Twin Grand Apartments","10","Entire home",
"Bungalow On 53-Private Cozy Villa close to Bentota","11","Entire villa","5"
"The Bower Ceylon","12","Entire villa",
"Lanka Golf Villa Collection - Villa Gelian Luxury","8","Entire villa",
"Brand new luxury mini apartment","3","Entire rental unit",
"Salt and Sand Villas - Beachfront Private Pools","14","Entire villa","4.8"
"Southwinds Villa","9","Entire villa",
"Mawak Eco Villa","12","Private room in bed and breakfast",
"Unawatuna Apartments. River View.","4","Entire rental unit","5"
"Talaramba Reef - Villa Vatura","12","Entire villa","4.92"
"Villa Ini","8","Entire villa",
"Monara House, Talpe","10","Entire home",
"Villa Dia","8","Entire villa",
"Beach Villa with Swimming Pool and A/C -3 Bedrooms","8","Room in bed and breakfast","4.86"
"38 Sqm Gardenview room in Galle","3","Room in hotel",
"Entire MoonWater Villa.  5 dbl AC rooms. Pool.Yoga","10","Entire villa",
"Villas Gabrielle - Luxury colonial style Villas","10","Entire villa","4.5"
"Satiana Galle Full Villa with Breakfast (4 Rooms)","8","Entire home",
"Stoney Croft - 5 bedroom Cottage","13","Entire cottage",
"The Courtyard & Pool Villa","4","Private room in villa",
"Saffron & Blue, 2BR, Bentota w/ chef","4","Entire villa",
"Viceroy Suite - Viceroy House","2","Room in boutique hotel",
"Mo River House - Private Villa","8","Entire home",
"White Sand Villa Seenigama Beach front 
Hikkaduwa","10","Entire villa","4.72"
"Blue Heights","8","Entire villa",
"Satori - exceptional villa with pool, staff + chef","15","Entire villa",
"Villa Vehalla - Luxury Private Villa","16","Entire villa","4.96"
"Samudrawasa Colonial Villa + beach house","12","Entire villa","4.89"
"Tintagel Colombo by Paradise Road Hotels","2","Room in boutique hotel","4.71"
"South Point Abbey - Beachfront 4 bedroom Villa","9","Entire villa","4.85"
"Kiri Palu","16","Entire villa",
"Minnehaha Bentota","11","Entire home",
"Beach front private villa","10","Entire villa","4.5"
"Kottan-On-Sea, Beach House","8","Entire home","4.57"
"Talaramba Reef - Villa Sulanga","12","Entire villa","5"
"The Well House Galle","8","Entire villa","4.81"
"Private Luxury Villa 105B","8","Entire home","4.86"
"Ivory House  Colonial villa, private Chef & pool","8","Entire villa","4.83"
"Coconut Grove villa w/ cook & pool","8","Entire villa","5"
"Sri Devi Retreat paddy view, ensuite mini villas","10","Entire home",
"Sulanga - 4BR Luxury Chalet","12","Entire home","4.75"
"Luxury Beach House","9","Entire villa","4.82"
"Samadara Estate - Luxury Private Estate","10","Entire villa","5"
"Jasper Ocean","10","Entire villa","5"
"Claire Villa - Luxury 4 Bed Villa & Infinity Pool","10","Entire villa","5"
"Hillside villa, sleeps 10, beach front, pool, chef","10","Entire villa",
"Dutch house 5 bedrms, pool & chef","10","Entire villa",
"Mirissa 3BR Private Villa with Pool on the Cliff","6","Entire villa","4.5"
"Beachfront Villa In Ahangama","8","Entire villa","4.7"
"Morague Beach Villa","6","Entire guesthouse",
"Kadju House","8","Entire villa","4.8"
"Cove House - stunning villa on Hiriketiya Bay","6","Entire villa","5"
"Stella Beach House","10","Entire cottage","5"
"Myla Beach 4 bedrm beach front villa pool chef","8","Entire villa",
"Villa Mine with lake & skatepark","10","Entire villa",
"Special rates! Stunning beachfront Nilwella Palms","12","Entire home","4.96"
"The Palm Lanka","8","Entire villa","5"
"Villa Amber Llama ""Secluded Coastal Villa"" -Thalpe","8","Entire villa",
"Yahva Bentota - Serene Lakefront Villa","10","Entire villa",
"The Lookout Sri Lanka 5* Beachfront Luxury Villa","10","Entire villa","4.94"
"Ceylon House luxury 5 bed ocean front villa","10","Entire villa",
"Sudu Villa. Luxury in Hiriketiya (Entire Villa)","13","Entire villa","5"
"Flowground  | Paddy Villa","11","Entire villa",
"Beachfront Family Villa Walauwa","5","Entire villa","4.78"
"Wijaya Giri","12","Entire villa","5"
"Wigi's Villa - Lovely luxury beach front home","10","Entire villa","4.91"
"The Summer House Ambalangoda","8","Entire villa","4.9"
"Bright, Contemporary Villa with Ocean Views","10","Entire villa","5"
"Luxury Private Beach front in Bentota Green Turtle","8","Entire villa","4.9"
"Architect Villa- South Coast","10","Entire villa","4.95"
"4 BR on The Beach in Kosgoda","8","Entire villa",
"Diviya Lodge - Madiha Hill","2","Entire home","5"
"Buona Vista - Luxury Twin Villas Rummassala","12","Entire villa","5"
"Sudarshi Heaven","6","Entire villa","4.83"
"Villananda - Amazing Beachfront Villa With Pool","4","Entire villa","4.95"
"Linwewa Villa, Sigiriya: Lake Views amidst History","6","Entire villa",
"102 Sqm Chalet in Habarana","2","Room in hotel","5"
"Eliya Villa - 2 bedrooms - Madiha surf point","4","Entire villa","4.97"
"Sati Villa Rekawa Beach Sri Lanka","7","Entire villa","4.93"
"Buona Vista North -Luxury Villa on Rummassala Hill","6","Entire villa","4.96"
"Sam & Lola's - Hiriketiya - Villa Sam","2","Room in boutique hotel","4.96"
"Villa Noumi Main House","8","Entire home","5"
"Absolute Beach Front Villa with Pool.","4","Entire villa","4.99"
"3 Bed Coastal Villa With Pool | The Casuarina Tree","6","Entire villa","4.98"
"Ahangama Beach House","4","Entire home","5"
"Villa 238 - The Beach House-Dutch Bay Trincomalee","7","Entire townhouse","4.95"
"Villa in Galle ""Pepper Jungle House""","6","Entire villa","4.82"
"Ocean Divine Beachfront 4BR Villa with Pool & Chef","8","Entire villa","5"
"Rare Beautiful 6 Bedroom Villa with Infinity Pool","12","Entire home","4.97"
"Lakeview Villa, Koggala Lake, Ahangama, Galle","8","Entire villa","5"
"Clipper Villa discounts and generator backup","10","Entire villa","4.88"
"Kingsley's Pearl At Galle Fort, Sri Lanka","6","Entire villa","5"
"Solar Crab","6","Entire villa","4.74"
"Luxury Oceanfront private Suite","2","Private room in guest suite","4.92"
"Highgrove Estate","6","Entire bungalow","5"
"Stunning Beachfront Home Hiru Sandu Villa","8","Entire home","4.94"
"Skinny Beach House","5","Entire home","4.81"
"Villa Mika : Luxury Tropical House","4","Entire villa","4.98"
"Villa Mer Vue","6","Entire villa","4.85"
"Stylish  family villa with chef, close to beach","10","Entire villa","4.91"
"Villa In Ahangama - Sattva","10","Entire villa",
"Cassia Hill - Luxe Colonial Villa, Glorious Views","12","Entire villa","4.95"
"Dream Beach Villa Araliya Ambalangoda/ocean front","6","Entire villa","4.95"
"Architect Ocean View Villa","9","Entire villa","4.91"
"Gangananda, Stunning Lakeside Villa Near The Sea","6","Entire villa","4.92"
"Green Parrot Beach Villa with Private Pool by Sea","4","Entire villa","5"
"Villa Relax","6","Entire home","4.91"
"Spacious 3BR-Family Villa,priv Chef and Pool Galle","10","Entire villa","5"
"ETAMBA HOUSE","6","Entire villa","4.98"
"Treehouse with pool b/w Galle and Unawatuna Beach","6","Entire home","4.76"
"Colonial Bungalow Galle-Private Tropical paradise.","5","Entire bungalow","4.9"
"Villa Alexia - Tropical Pool View - 10min To Beach","8","Entire villa","4.96"
"Drift House - Beach Villa","8","Entire home","5"
"Croco Beach House","6","Entire home","5"
"private beach villa","10","Entire home","4.83"
"Tarya Beach Villa","8","Entire villa","4.86"
"Villa Roy","8","Entire villa","4.87"
"Buona Vista South - Luxury Villa, Unwatuna, Galle","6","Entire villa","4.92"
"Ocean Loft","3","Private room in guesthouse","5"
"Beachfront Villa with Pool / Sunrise","4","Entire villa",
"Yala Glamping with a Jeep Safari , Permits & Meals","4","Tent","4.67"
"Kathaluwa Grand Manor","8","Entire home",
"River Front Nature Villa With Breakfast & Cook","6","Entire villa","5"
"Rose Villa paradise on the ocean.","8","Entire villa","4.81"
"The Clarks at Celestial Hills-Mountain View Villa","2","Entire villa",
"Vador Villa, a tropical paradise","6","Entire home","5"
"Mirissa Charm: Group Getaway","4","Room in hotel",
"Galle Fort villa, 3 bdrm, pool, roof terrace","6","Entire villa","4.75"
"Gorgeous two bedroom villa with pool in Hiriketiya","4","Entire villa","4.86"
"Luxury Villa with scenic views in Haputale","3","Entire villa",
"Sudu Villa - Poolside Apartment","4","Entire rental unit",
"historic British colonial house","8","Castle","5"
"The Mugatiya: Ahangama's Heritage Luxury Villa","9","Entire cottage","5"
"3 bedroom- Lake front 1 km to the Surfing Beach","6","Entire cottage","4.82"
"Villa Sanmara: Birdwatchers’ Paradise","9","Entire home","4.92"
"Modern and Luxurious 5-Bedroom Home","10","Entire villa","5"
"Sisindu C","4","Entire home",
"Chic 9 Bedroom Boutique Villa","16","Room in boutique hotel","5"
"Unakanda Mango House","7","Entire villa","4.82"
"Sukomala Imaduwa","6","Entire villa","5"
"VILLA SEPALIKA (close to Galle)","6","Entire cottage","4.89"
"Luxury Designer Villa Sakara House","8","Entire home","4.71"
"Luxury Lakefront Villa in Negombo","8","Entire villa","5"
"Dream Beach Villa Lotus Ambalangoda / ocean front","6","Entire villa","4.79"
"Serenity House, Family Villa, walk to beach","7","Entire bungalow","5"
"Seaside Serenity: Luxe Villa in Tranquil Rekawa","8","Entire home","5"
"Luxury Kingsize Triple with en-suite bedroom.","3","Private room in bed and breakfast",
"Kandy Casa  - 4BR Villa","8","Entire villa","4.96"
"Sunset House, Beachfront, Pool, Private","6","Entire villa","4.76"
"Villa Kasthuri by Arsulana","4","Tiny home",
"Moonstone Villa discounts and generator backup","8","Entire home","4.86"
"Gaia Soul - Surf & Skate","8","Entire guesthouse",
"The Romance -Clouds - Private Pool","2","Private room in bed and breakfast","4.65"
"Tropical Beach House, Hikkaduwa","8","Entire villa","4.8"
"Stonyhurst - a cosy & luxurious cottage","8","Entire villa","4.9"
"Ahangama New villa for 6 with private pool","6","Entire villa","4.8"
"33 Lake Terrace - Master Suite 'Oruwa'","2","Room in boutique hotel",
"Cottage in Mirissa with breakfast & private pool","2","Entire guest suite","4.95"
"Garden villa near the ocean","3","Entire villa",
"Driftwood Villa","14","Entire villa",
"Spacious family suite with access to pool & beach","3","Room in boutique hotel",
"Private lakefront villa near Yala and Bundala","13","Entire villa","5"
"White Haven Villa in Hikkaduwa","10","Entire villa","4.95"
"Lakeview Villa, Koggala Lake. 4 people/ 2 bedrooms","4","Entire villa",
"Villas Gabrielle, Family Suite","4","Private room in home","5"
"The Wrea, Bolgoda","10","Entire villa",
"Luxury Lake Front
Villa with  Pool","8","Entire villa","5"
"Kiri Palu Garden Villa","5","Entire villa","5"
"3 Bedroom Private Luxury Villa","6","Room in boutique hotel",
"GOOD STORY 2-bedroom villa with swimming pool","4","Entire villa","5"
"Mala Villa~pool~kitchen~sleeps 6","6","Entire villa",
"Ebb Villa: Six Surf Spots a Five Minute Walk","6","Entire villa","4.98"
"Flow Villa: Six Surf Spots a Five Minute Walk","6","Entire villa","5"
"Windermere Cottage","6","Entire cottage","5"
"Ocean Cottage - Sea","7","Entire cottage",
"Pool-Villa in secluded bay, surfing, fast internet","8","Entire villa","5"
"Mif Heritage Villa","7","Entire home","4.92"
"Luxury colonial villa, 10 guests, pool, BBQ area","10","Entire villa","4.67"
"Wallauwa Bedroom - Viceroy House","2","Room in boutique hotel",
"Adventure seekers and nature lovers  paradise","5","Entire chalet","4.91"
"Green Parrot Beachfront Villa with Private Pool","4","Entire villa","5"
"Monkey House Private Villa","2","Entire villa",
"Skylight House - a place for friends and families","6","Entire villa","4.86"
"Super Deluxe with Mountain View","2","Room in hotel",
"One Room Exclusive by Ceilao Villas","2","Entire villa",
"Ramboda Villa","8","Entire villa","4.5"
"The Hotel - Sunrise Penthouse Suite","2","Room in hotel",
"Suite with breakfast at Beacon By the Bay","2","Room in hotel",
"THE FLYING SQUIRREL @ FLAME TREE ESTATE & HOTEL","2","Room in boutique hotel",
"Luxury Oceanfront private Suite Samaya 1st floor","2","Room in boutique hotel","4.8"
"2BR Beachfront with Pool -Terrace/Private entrance","4","Private room in villa",
